文件名,键名,日文原文,当前使用,使用来源,todo/new_翻译,jp_cn_翻译,data_翻译
MainTask.json,main_task_group-01-01|30|description,プロデュースに挑戦して評価C+以上を獲得しよう,在培育中挑战获得C+以上的评价吧,jp_cn,,在培育中挑战获得C+以上的评价吧,在培育中挑战获得C+以上的评价
MainTask.json,main_task_group-01-01|30|homeDescription,プロデュースに挑戦して評価C+以上を獲得しよう,在培育中挑战获得C+以上的评价吧,jp_cn,,在培育中挑战获得C+以上的评价吧,在培育中挑战获得C+以上的评价
MainTask.json,main_task_group-01-01|34|description,"プロデュースに挑戦して評価C+以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得C+以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得C+以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得C+以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-01-01|34|homeDescription,"プロデュースに挑戦して評価C+以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得C+以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得C+以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得C+以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-01-01|37|description,"プロデュースに挑戦して評価C+以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得C+以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得C+以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得C+以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-01-01|37|homeDescription,"プロデュースに挑戦して評価C+以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得C+以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得C+以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得C+以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-01-01|49|description,"プロデュースに挑戦して評価B以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得B以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得B以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得B以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-01-01|49|homeDescription,"プロデュースに挑戦して評価B以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得B以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得B以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得B以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-01-01|50|description,"プロデュースに挑戦して評価B以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得B以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得B以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得B以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-01-01|50|homeDescription,"プロデュースに挑戦して評価B以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得B以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得B以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得B以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|7|description,SPレッスンを{threshold}回クリアしよう,完成{threshold}次SP课程吧,jp_cn,,完成{threshold}次SP课程吧,完成{threshold}次SP课程
MainTask.json,main_task_group-02-01|7|homeDescription,SPレッスンを{threshold}回クリアしよう,完成{threshold}次SP课程吧,jp_cn,,完成{threshold}次SP课程吧,完成{threshold}次SP课程
MainTask.json,main_task_group-02-01|10|description,プロデュースに挑戦して評価B+以上を獲得しよう,在培育中挑战获得B+以上的评价吧,jp_cn,,在培育中挑战获得B+以上的评价吧,在培育中挑战获得B+以上的评价
MainTask.json,main_task_group-02-01|10|homeDescription,プロデュースに挑戦して評価B+以上を獲得しよう,在培育中挑战获得B+以上的评价吧,jp_cn,,在培育中挑战获得B+以上的评价吧,在培育中挑战获得B+以上的评价
MainTask.json,main_task_group-02-01|13|description,"プロデュースに挑戦して評価B+以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得B+以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得B+以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得B+以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|13|homeDescription,"プロデュースに挑戦して評価B+以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得B+以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得B+以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得B+以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|14|description,"プロデュースに挑戦して評価B+以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得B+以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得B+以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得B+以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|14|homeDescription,"プロデュースに挑戦して評価B+以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得B+以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得B+以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得B+以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|51|description,プロデュースに挑戦して評価A以上を獲得しよう,在培育中挑战获得A以上的评价吧,jp_cn,,在培育中挑战获得A以上的评价吧,在培育中挑战获得A以上的评价
MainTask.json,main_task_group-02-01|51|homeDescription,プロデュースに挑戦して評価A以上を獲得しよう,在培育中挑战获得A以上的评价吧,jp_cn,,在培育中挑战获得A以上的评价吧,在培育中挑战获得A以上的评价
MainTask.json,main_task_group-02-01|54|description,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|54|homeDescription,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|55|description,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|55|homeDescription,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|62|description,プロデュースに挑戦して評価A以上を獲得しよう,在培育中挑战获得A以上的评价吧,jp_cn,,在培育中挑战获得A以上的评价吧,在培育中挑战获得A以上的评价
