旧值,新值,旧翻译,新翻译
リンクコンテストに{threshold}回挑戦しよう,コンテストに{threshold}回挑戦しよう,挑戰{threshold}次接力競技吧,
リンクコンテストでグレード2に到達しよう,コンテストでグレード2に到達しよう,在競技場中到達等級2吧,
リンクコンテストでグレード3に到達しよう,コンテストでグレード3に到達しよう,在競技場中到達等級3吧,
リンクコンテストでグレード4に到達しよう,コンテストでグレード4に到達しよう,在競技場中到達等級4吧,
リンクコンテストでグレード5に到達しよう,コンテストでグレード5に到達しよう,在競技場中到達等級5吧,
リンクコンテストでグレード6に到達しよう,コンテストでグレード6に到達しよう,在競技場中到達等級6吧,
リンクコンテストでグレード7に到達しよう,コンテストでグレード7に到達しよう,在競技場中到達等級7吧,
リンクコンテストのユニット総合力を{threshold}以上にしよう,コンテストのユニット総合力を{threshold}以上にしよう,將競技場的組合綜合實力提升至{threshold}以上吧,
リンクコンテストのステージ合計ハイスコアで{threshold}以上を獲得しよう,コンテストでスコアを{threshold}以上獲得しよう,在競技場中獲得{threshold}以上的分數吧,
リンクコンテストで{threshold}回勝利しよう,コンテストで{threshold}回勝利しよう,在競技場中獲得{threshold}次勝利吧,
リンクコンテストでスキルカードを{threshold}回使用しよう,コンテストに{threshold}回挑戦しよう,挑戰{threshold}次競技場吧,
リンクコンテストで編成しよう,コンテストで編成しよう,去編成競技場隊伍吧,
リンクコンテストでスキルカードを{threshold}回使用しよう,コンテストに挑戦しよう,去挑戰競技場吧,
