旧值,新值,旧翻译,新翻译
強気,直接効果,强气,直接效果
になった時、,で,的时候，,使
このスキルカードの,強気,这张技能卡的,强气
パラメータ値増加,になった時、,打分值增加,存在的时候，
+10（,このスキルカードの,+10（,这张技能卡的
レッスン,パラメータ値増加,课程,打分值增加
中1回）,+10（,中1回）,+10（
+8（,このスキルカードの,+8（,这张技能卡的
中1回）,+8（,中1回）,+8（
パラメータ上昇回数増加,になった時、,点数上升次数增加,存在的时候，
+1（,このスキルカードの,+1（,这张技能卡的
レッスン,パラメータ上昇回数増加,课程,点数上升次数增加
中1回）,+1（,中1回）,+1（
コスト値減少,になった時、,花费值减少,存在的时候，
-1・,このスキルカードの,-1・,这张技能卡的
パラメータ値増加,コスト値減少,打分值增加,花费值减少
+16（,-1・,+16（,-1・
中2回）,+16（,中2回）,+16（
+21（,-1・,+21（,-1・
中2回）,+21（,中2回）,+21（
中2回）,+10（,中2回）,+10（
+15（,このスキルカードの,+15（,这张技能卡的
中2回）,+15（,中2回）,+15（
+15・,このスキルカードの,+15・,这张技能卡的
コスト値増加,パラメータ値増加,花费值增加,打分值增加
+1（,+15・,+1（,+15・
レッスン,コスト値増加,课程,花费值增加
中2回）,+1（,中2回）,+1（
+20（,このスキルカードの,+20（,这张技能卡的
中2回）,+20（,中2回）,+20（
+25・,このスキルカードの,+25・,这张技能卡的
+1（,+25・,+1（,+25・
+6（,このスキルカードの,+6（,这张技能卡的
中2回）,+6（,中2回）,+6（
+1,このスキルカードの,+1,这张技能卡的
+2,このスキルカードの,+2,这张技能卡的
+3,このスキルカードの,+3,这张技能卡的
+4,このスキルカードの,+4,这张技能卡的
+5,このスキルカードの,+5,这张技能卡的
指針,直接効果,指针,直接效果
を変更するたび、,で,变更的时候，,使
このスキルカードの,指針,这张技能卡的,指针
パラメータ値増加,を変更するたび、,打分值增加,变更的时候，
+4（,このスキルカードの,+4（,这张技能卡的
中2回）,+4（,中2回）,+4（
中3回）,+10（,中3回）,+10（
+5（,このスキルカードの,+5（,这张技能卡的
中3回）,+5（,中3回）,+5（
中4回）,+15（,中4回）,+15（
中4回）,+20（,中4回）,+20（
を2回変更するたび、,で,2次变更的时候，,使
パラメータ値増加,を2回変更するたび、,打分值增加,2次变更的时候，
中3回）,+4（,中3回）,+4（
+7（,このスキルカードの,+7（,这张技能卡的
中3回）,+7（,中3回）,+7（
温存,直接効果,温存,直接效果
このスキルカードの,温存,这张技能卡的,温存
元気値増加,になった時、,元气值增加,存在的时候，
レッスン,元気値増加,课程,元气值增加
中1回）,+5（,中1回）,+5（
全力値,直接効果,全力值,直接效果
が増加後、,で,增加后，,使
このスキルカードの,全力値,这张技能卡的,全力值
パラメータ値増加,が増加後、,打分值增加,增加后，
+11（,このスキルカードの,+11（,这张技能卡的
中3回）,+11（,中3回）,+11（
中3回）,+6（,中3回）,+6（
