旧值,新值,旧翻译,新翻译
やる気,直接効果,干劲,直接效果
が増加後、,で,增加后，,使
元気,やる気,元气,干劲
の<nobr>,が増加後、,的<nobr>,增加后，
25,元気,25,元气
%</nobr>分,の<nobr>,%</nobr>数值变为,的<nobr>
パラメータ,25,打分,25
上昇,%</nobr>分,上升,%</nobr>数值变为
強気,直接効果,强气,直接效果
になった時、,で,存在的时候，,使
すべてのスキルカードの,強気,所有的技能卡的,强气
パラメータ値増加,になった時、,打分值增加,存在的时候，
+2,すべてのスキルカードの,+2,所有的技能卡的
全力値,直接効果,全力值,直接效果
すべてのスキルカードの,全力値,所有的技能卡的,全力值
パラメータ値増加,が増加後、,打分值增加,增加后，
集中,直接効果,集中,直接效果
好調,集中,好调,集中
<nobr>,が増加後、,<nobr>,增加后，
1,好調,1,好调
ターン</nobr>,<nobr>,回合</nobr>,<nobr>
好調,直接効果,好调,直接效果
の効果ターンが増加後、,で,的效果回合增加后，,使
集中,好調,集中,好调
<nobr>+,が増加後、,<nobr>+,增加后，
1,集中,1,集中
</nobr>,<nobr>+,</nobr>,<nobr>+
好印象,直接効果,好印象,直接效果
1,好印象,1,好印象
元気,直接効果,元气,直接效果
やる気,元気,干劲,元气
が12以上の場合、,が増加後、,在12以上的时候，,增加后，
の<nobr>,が12以上の場合、,的<nobr>,在12以上的时候，
150,やる気,150,干劲
パラメータ,150,打分,150
が8以上の場合、,が増加後、,在8以上的时候，,增加后，
<nobr>,が8以上の場合、,<nobr>,在8以上的时候，
2,好調,2,好调
が3ターン以上の場合、,が増加後、,在3回合以上的时候，,增加后，
<nobr>+,が3ターン以上の場合、,<nobr>+,在3回合以上的时候，
2,集中,2,集中
2,好印象,2,好印象
元気増加無効,やる気,元气增加无效,干劲
2,元気増加無効,2,元气增加无效
スランプ,集中,低谷,集中
2,スランプ,2,低谷
スランプ,好調,低谷,好调
スランプ,好印象,低谷,好印象
1,スランプ,1,低谷
眠気,好印象,睡意,好印象
を,が増加後、,在,增加后，
山札のランダムな位置,眠気,牌堆中随机位置,睡意
に,を,中,在
生成,山札のランダムな位置,生成,牌堆中随机位置
